Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,OverTime_Yes,Position_Human Resources - Manager,Position_Research & Development - Healthcare Representative,Position_Research & Development - Laboratory Technician,Position_Research & Development - Manager,Position_Research & Development - Manufacturing Director,Position_Research & Development - Research Director,Position_Research & Development - Research Scientist,Position_Sales - Manager,Position_Sales - Sales Executive,Position_Sales - Sales Representative,Attrition
41,1,2,2,3,4,5993,8,11,1,0,0,1,6,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
49,8,1,3,2,2,5130,1,23,4,1,3,3,10,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
37,2,2,4,2,3,2090,6,15,2,0,3,3,0,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True
33,3,4,4,3,3,2909,1,11,3,0,3,3,8,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
27,2,1,1,3,2,3468,9,12,4,1,3,3,2,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
32,2,2,4,3,4,3068,0,13,3,0,2,2,7,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
59,3,3,3,4,1,2670,4,20,1,3,3,2,1,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
30,24,1,4,3,3,2693,1,22,2,1,2,3,1,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
38,23,3,4,2,3,9526,0,21,2,0,2,3,9,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
36,27,3,3,3,3,5237,6,13,2,2,3,2,7,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
35,16,3,1,4,2,2426,0,13,3,1,5,3,5,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
