  full_name,2022/23 ,2022/23(*)
Stephen Curry,"$45,780,966 ","$51,411,079 "
James Harden,"$44,310,840 ","$49,760,158 "
John Wall,"$44,310,840 ","$49,760,158 "
Russell Westbrook,"$44,211,146 ","$49,648,204 "
Kevin Durant,"$42,018,900 ","$47,186,357 "
LeBron James,"$41,180,544 ","$46,244,900 "
Paul George,"$39,344,970 ","$44,183,589 "
Damian Lillard,"$39,344,900 ","$44,183,510 "
Giannis Antetokounmpo,"$39,344,900 ","$44,183,510 "
Kawhi Leonard,"$39,344,900 ","$44,183,510 "
Klay Thompson,"$37,980,720 ","$42,651,564 "
Jimmy Butler,"$36,016,200 ","$40,445,449 "
Tobias Harris,"$35,995,950 ","$40,422,708 "
Khris Middleton,"$35,500,000 ","$39,865,767 "
Anthony Davis,"$35,361,360 ","$39,710,077 "
Rudy Gobert,"$35,344,828 ","$39,691,512 "
Kyrie Irving,"$35,328,700 ","$39,673,400 "
Kemba Walker,"$34,967,442 ","$39,267,715 "
Bradley Beal,"$33,724,200 ","$37,871,580 "
Pascal Siakam,"$33,003,936 ","$37,062,738 "
Ben Simmons,"$33,003,936 ","$37,062,738 "
Blake Griffin,"$32,405,817 ","$36,391,063 "
Kristaps Porzingis,"$31,650,600 ","$35,542,970 "
Devin Booker,"$31,650,600 ","$35,542,970 "
Karl-Anthony Towns,"$31,650,600 ","$35,542,970 "
Joel Embiid,"$31,579,390 ","$35,463,003 "
Andrew Wiggins,"$31,579,390 ","$35,463,003 "
Kevin Love,"$31,258,256 ","$35,102,376 "
Jrue Holiday,"$31,171,333 ","$35,004,763 "
Nikola Jokic,"$31,044,906 ","$34,862,788 "
CJ McCollum,"$30,864,198 ","$34,659,857 "
Chris Paul,"$30,800,000 ","$34,587,764 "
D'Angelo Russell,"$30,013,500 ","$33,704,540 "
Gordon Hayward,"$29,925,000 ","$33,605,157 "
Brandon Ingram,"$29,467,800 ","$33,091,731 "
Jamal Murray,"$29,467,800 ","$33,091,731 "
Donovan Mitchell,"$28,103,500 ","$31,559,650 "
De'Aaron Fox,"$28,103,500 ","$31,559,650 "
Bam Adebayo,"$28,103,500 ","$31,559,650 "
Jayson Tatum,"$28,103,500 ","$31,559,650 "
Al Horford,"$27,000,000 ","$30,320,442 "
Kyle Lowry,"$26,984,128 ","$30,302,618 "
Jaylen Brown,"$26,758,928 ","$30,049,723 "
DeMar DeRozan,"$26,000,000 ","$29,197,463 "
Draymond Green,"$24,026,712 ","$26,981,501 "
Nikola Vucevic,"$24,000,000 ","$26,951,504 "
Buddy Hield,"$23,073,234 ","$25,910,765 "
John Collins,"$23,000,000 ","$25,828,525 "
Malcolm Brogdon,"$21,700,000 ","$24,368,652 "
Tim Hardaway Jr,"$21,306,816 ","$23,927,114 "
Mike Conley,"$21,000,000 ","$23,582,566 "
Gary Harris,"$20,932,143 ","$23,506,364 "
Danilo Gallinari,"$20,475,000 ","$22,993,002 "
Harrison Barnes,"$20,284,091 ","$22,778,615 "
Jerami Grant,"$20,002,500 ","$22,462,394 "
Jarrett Allen,"$20,000,000 ","$22,459,587 "
Julius Randle,"$19,800,000 ","$22,234,991 "
Fred VanVleet,"$19,675,926 ","$22,095,658 "
Zach LaVine,"$19,500,000 ","$21,898,097 "
Goran Dragic,"$19,348,907 ","$21,728,422 "
Spencer Dinwiddie,"$19,314,284 ","$21,689,542 "
Bojan Bogdanovic,"$18,700,000 ","$20,999,714 "
Lonzo Ball,"$18,604,651 ","$20,892,639 "
Domantas Sabonis,"$18,500,000 ","$20,775,118 "
Eric Gordon,"$18,218,818 ","$20,459,356 "
Eric Bledsoe,"$18,125,000 ","$20,354,000 "
Myles Turner,"$18,000,000 ","$20,213,628 "
Bogdan Bogdanovic,"$18,000,000 ","$20,213,628 "
Terry Rozier,"$17,905,263 ","$20,107,240 "
Ricky Rubio,"$17,800,000 ","$19,989,032 "
Clint Capela,"$17,603,448 ","$19,768,308 "
Caris LeVert,"$17,500,000 ","$19,652,138 "
Jonathan Isaac,"$17,400,000 ","$19,539,840 "
Joe Harris,"$17,357,143 ","$19,491,713 "
Evan Fournier,"$17,142,857 ","$19,251,074 "
Steven Adams,"$17,073,171 ","$19,172,818 "
Markelle Fultz,"$16,500,000 ","$18,529,159 "
Aaron Gordon,"$16,409,091 ","$18,427,070 "
Gary Trent Jr,"$16,225,000 ","$18,220,340 "
OG Anunoby,"$16,071,429 ","$18,047,883 "
Davis Bertans,"$16,000,000 ","$17,967,669 "
Lauri Markkanen,"$15,690,909 ","$17,620,566 "
Derrick White,"$15,678,571 ","$17,606,711 "
Duncan Robinson,"$15,650,000 ","$17,574,626 "
Marcus Morris,"$15,627,907 ","$17,549,816 "
Will Barton,"$15,625,000 ","$17,546,552 "
Norman Powell,"$15,517,242 ","$17,425,542 "
Dejounte Murray,"$15,428,880 ","$17,326,313 "
Malik Beasley,"$14,491,964 ","$16,274,176 "
Patrick Beverley,"$14,320,987 ","$16,082,172 "
Thaddeus Young,"$14,190,000 ","$15,935,077 "
Jonas Valanciunas,"$14,000,000 ","$15,721,711 "
Marcus Smart,"$13,839,285 ","$15,541,231 "
Doug McDermott,"$13,750,000 ","$15,440,966 "
Christian Wood,"$13,666,667 ","$15,347,384 "
Derrick Rose,"$13,445,120 ","$15,098,592 "
Luke Kennard,"$13,347,727 ","$14,989,221 "
Taurean Prince,"$13,334,375 ","$14,974,227 "
Brook Lopez,"$13,302,325 ","$14,938,236 "
Kentavious Caldwell-Pope,"$13,038,862 ","$14,642,372 "
Joe Ingles,"$13,036,364 ","$14,639,567 "
Kyle Kuzma,"$13,000,000 ","$14,598,731 "
Robert Covington,"$12,975,471 ","$14,571,186 "
TJ Warren,"$12,940,000 ","$14,531,352 "
Deandre Ayton,"$12,632,950 ","$14,186,542 "
Terrence Ross,"$12,500,000 ","$14,037,241 "
Jordan Clarkson,"$12,420,000 ","$13,947,403 "
Dillon Brooks,"$12,200,000 ","$13,700,348 "
Kelly Olynyk,"$12,195,122 ","$13,694,870 "
Nicolas Batum,"$12,026,998 ","$13,506,070 "
Josh Hart,"$12,000,000 ","$13,475,752 "
Jusuf Nurkic,"$12,000,000 ","$13,475,752 "
Kelly Oubre,"$12,000,000 ","$13,475,752 "
Josh Richardson,"$11,615,328 ","$13,043,773 "
Marvin Bagley,"$11,312,114 ","$12,703,270 "
DeAndre Jordan,"$11,109,327 ","$12,475,544 "
Dwight Powell,"$11,080,125 ","$12,442,751 "
Devonte Graham,"$11,000,000 ","$12,352,772 "
Zion Williamson,"$10,733,400 ","$12,053,386 "
Larry Nance Jr,"$10,690,909 ","$12,005,670 "
Jeremy Lamb,"$10,500,000 ","$11,791,283 "
Richaun Holmes,"$10,384,500 ","$11,661,579 "
Reggie Jackson,"$10,384,500 ","$11,661,579 "
Al-Farouq Aminu,"$10,335,621 ","$11,606,688 "
Anthony Edwards,"$10,245,480 ","$11,505,462 "
Luka Doncic,"$10,174,391 ","$11,425,631 "
Cade Cunningham,"$10,050,120 ","$11,286,077 "
Tomas Satoransky,"$10,000,000 ","$11,229,792 "
Danny Green,"$10,000,000 ","$11,229,793 "
Tristan Thompson,"$9,946,611 ","$11,169,838 "
Kyle Anderson,"$9,937,150 ","$11,159,214 "
Jae Crowder,"$9,720,900 ","$10,916,370 "
Derrick Favors,"$9,720,900 ","$10,916,370 "
Serge Ibaka,"$9,720,900 ","$10,916,370 "
Derrick Jones,"$9,720,900 ","$10,916,370 "
Montrezl Harrell,"$9,720,900 ","$10,916,370 "
Ja Morant,"$9,603,360 ","$10,784,375 "
Alec Burks,"$9,536,000 ","$10,708,731 "
Reggie Bullock,"$9,536,000 ","$10,708,731 "
Talen Horton-Tucker,"$9,500,000 ","$10,668,303 "
Mason Plumlee,"$9,248,333 ","$10,385,687 "
Jaren Jackson Jr,"$9,180,560 ","$10,309,579 "
James Wiseman,"$9,166,800 ","$10,294,127 "
Jalen Green,"$8,992,080 ","$10,097,920 "
De'Anthony Melton,"$8,805,976 ","$9,888,929 "
Royce O'Neale,"$8,800,000 ","$9,882,218 "
Nerlens Noel,"$8,800,000 ","$9,882,218 "
Jakob Poeltl,"$8,750,000 ","$9,826,069 "
Maxi Kleber,"$8,750,000 ","$9,826,069 "
Thomas Bryant,"$8,666,667 ","$9,732,488 "
RJ Barrett,"$8,623,920 ","$9,684,484 "
Alex Caruso,"$8,600,000 ","$9,657,622 "
Delon Wright,"$8,526,316 ","$9,574,876 "
Dario Saric,"$8,510,000 ","$9,556,554 "
Monte Morris,"$8,449,074 ","$9,488,135 "
Tyus Jones,"$8,376,286 ","$9,406,396 "
Trae Young,"$8,326,471 ","$9,350,455 "
Daniel Theis,"$8,280,351 ","$9,298,663 "
LaMelo Ball,"$8,231,760 ","$9,244,096 "
Seth Curry,"$8,207,518 ","$9,216,873 "
JaMychal Green,"$8,200,000 ","$9,208,430 "
Cedi Osman,"$8,133,334 ","$9,133,566 "
Evan Mobley,"$8,075,160 ","$9,068,238 "
De'Andre Hunter,"$7,775,400 ","$8,731,613 "
DJ Augustin,"$7,622,467 ","$8,559,872 "
Mo Bamba,"$7,568,743 ","$8,499,542 "
Ivica Zubac,"$7,518,518 ","$8,443,140 "
TJ McConnell,"$7,500,000 ","$8,422,345 "
Rajon Rondo,"$7,500,000 ","$8,422,344 "
Patrick Williams,"$7,422,000 ","$8,334,752 "
Cory Joseph,"$7,310,000 ","$8,208,979 "
Scottie Barnes,"$7,280,400 ","$8,175,738 "
Darius Garland,"$7,040,880 ","$7,906,762 "
Chris Boucher,"$7,020,000 ","$7,883,315 "
Zach Collins,"$7,000,000 ","$7,860,855 "
PJ Tucker,"$7,000,000 ","$7,860,855 "
Wendell Carter,"$6,920,027 ","$7,771,047 "
Juan Hernangomez,"$6,803,190 ","$7,639,841 "
Isaac Okoro,"$6,720,720 ","$7,547,229 "
Jalen Suggs,"$6,592,920 ","$7,403,713 "
Cameron Payne,"$6,500,000 ","$7,299,365 "
Joakim Noah,"$6,431,666 ","$7,222,628 "
Jarrett Culver,"$6,395,160 ","$7,181,632 "
