Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,OverTime_Yes,Position_Human Resources - Manager,Position_Research & Development - Healthcare Representative,Position_Research & Development - Laboratory Technician,Position_Research & Development - Manager,Position_Research & Development - Manufacturing Director,Position_Research & Development - Research Director,Position_Research & Development - Research Scientist,Position_Sales - Manager,Position_Sales - Sales Executive,Position_Sales - Sales Representative,Attrition
37,8,4,2,1,4,8392,5,14,4,1,0,3,9,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
33,2,4,4,2,1,1590,4,17,1,3,2,4,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
42,2,4,4,1,4,11864,7,19,1,1,4,2,9,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False
28,21,2,3,2,1,1093,1,11,2,0,2,2,3,False,True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True
30,15,2,3,2,3,1938,1,12,1,0,0,2,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
32,11,2,1,2,1,11814,4,12,2,0,2,2,3,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
37,1,4,4,3,4,19880,0,14,1,1,2,3,7,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False
30,12,2,2,2,1,4653,5,14,4,1,2,2,25,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
33,16,2,3,3,2,2849,4,11,2,0,3,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
25,24,3,1,2,2,1823,2,17,4,0,3,2,3,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True
33,1,3,4,2,3,2923,4,16,1,1,4,3,1,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
35,3,4,3,4,4,7015,1,15,4,0,5,2,13,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
25,7,1,4,3,2,2216,4,19,1,1,3,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
33,2,3,3,3,4,11454,6,14,3,1,2,3,19,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
30,15,5,3,1,1,11380,7,22,1,1,0,2,1,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
34,12,3,1,2,1,2305,1,11,1,1,2,2,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
33,21,4,4,2,1,2118,3,14,2,0,3,4,2,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
38,14,2,3,1,4,6795,6,14,2,1,1,2,6,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
57,3,4,4,2,3,2557,2,12,4,1,3,3,11,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
36,14,3,1,3,3,19213,0,11,3,1,2,3,3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
44,12,3,1,4,3,3175,1,19,4,0,5,3,5,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
39,5,3,3,1,4,2414,9,11,2,0,2,2,2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,18,1,3,4,4,3062,7,15,3,2,2,2,2,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
30,7,1,3,3,1,6966,1,12,2,2,4,3,8,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False
31,16,4,3,2,3,2182,1,14,3,1,4,3,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
34,24,3,4,2,4,1942,0,14,3,1,3,3,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
52,3,2,1,2,1,6922,2,14,4,1,2,3,16,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
29,8,2,2,4,4,4578,1,18,4,2,2,3,9,True,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False
34,2,4,4,1,4,2562,3,20,1,0,4,3,5,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False
42,11,4,4,2,3,3685,9,11,3,0,3,3,19,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
22,11,3,2,3,1,7795,2,14,4,0,4,3,6,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
46,2,4,4,3,4,19999,9,15,4,1,2,3,19,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
34,17,2,3,2,1,2752,1,14,2,2,4,2,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
21,5,1,3,2,1,2500,0,15,2,0,2,2,0,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True
30,11,3,1,2,1,2046,4,15,1,0,2,2,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
33,28,4,2,1,2,4028,4,14,2,1,3,3,8,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
30,10,3,1,1,2,2222,1,22,1,0,4,3,1,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
31,24,2,4,3,4,7909,5,16,1,0,4,3,2,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
28,7,1,3,2,3,9354,0,20,4,0,3,3,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
31,2,4,3,4,4,14290,0,13,4,0,2,3,17,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
31,9,4,4,2,1,6711,7,14,4,1,2,1,23,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
31,14,3,4,1,1,2275,7,14,1,1,1,4,5,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False
31,5,4,3,1,3,2469,4,15,4,0,2,3,9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
34,25,3,4,2,4,19999,4,11,4,1,5,3,29,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
